Modification,Price,Rarity,HP Req.,Features
Blade Drain,"4,000 (Restricted)",9,2,Can drain opponent's lightsaber power
Catastrophic Failure Modification,0,-,0,Turns lightsaber into improvised thermal detonator
Curved Hilt,"1,000",6,1,Improves duelling ability
Cyclic Crystal Array,"1,500 (Restricted)",8,2,Can install second crystal and swap in combat
Damping Emitter,"2,000",7,1,May set lightsaber to stun damage
Dual-Phase Modification,"4,500",6,2,Momentarily ignore opponent's melee defense
Extended Hilt,"3,800",7,1,Increases damage
Flickerphase Blade,"5,000",4,1,Makes blade harder to parry
Fusion Shunt,"2,000",6,1,Gives a setting for increased cutting potential
Hilt-Masking Kit,-,-,1,Conceals lightsaber as different item
Ionizing Emitter Matrix,"4,000",6,2,Increases damage against droids and vehicles
Overcharged Power Cell,500,6,1,Temporarily increase damage significantly
Pistol Hilt,750,5,2,Hilt is part of a blaster pistol
Pommel Cap,"3,000",2,1,Allows for lightsabers to make non-lethal blows
Reflex Grip,"4,000",8,2,Improves parrying and reflecting
Reinforced Magnetic Shielding,"4,000",5,1,Increases kinetic ability
Shien Reverse Grip Customization,100,6,1,Improves ability in Shien lightsaber form
Stun Blaster Attachment,750,5,3,Hilt is part of a stun blaster
Superior Hilt Personalisation,"5,000",6,1,Makes weapon Superior
Thisspiasian Stabilising Coils,"5,500",5,1,Reduces negative effects on attacks
Tholothian Heartwood Hilt,"8,000",7,1,Allows stronger strikes
Walking Stick Hilt Disguise,"2,500",6,1,Hilt is concealed in walking stick
