Modification,Price,Rarity,HP Req.,Other Req.,Features,source_file
Amplifying Chamber,350,4,1,-,Makes shot explosive,Blaster Exclusive Attachments.csv
Augmented Spin Barrel,"1,750",4,2,Rifles & Heavy Rifles,Increases damage,Blaster Exclusive Attachments.csv
Beam Splitter,"1,250 (Restricted)",5,3,Doesn't have blast,Makes shot scatter,Blaster Exclusive Attachments.csv
Blaster Actuating Module,500,4,1,Pistol,Increases damage,Blaster Exclusive Attachments.csv
Blaster Energy Dampener,750 (Restricted),4,1,Non-Gunnery,Reduces weapon sound,Blaster Exclusive Attachments.csv
Blaster Suppressor,750 (Restricted),5,1,Pistol,Reduces weapon sound,Blaster Exclusive Attachments.csv
Clone Firing Key,250,7,1,-,Functions only in clone hands,Blaster Exclusive Attachments.csv
Enhanced XCiter,"1,500 (Restricted)",6,2,-,Improves critical rating,Blaster Exclusive Attachments.csv
Galven Pattern Resequencing,"1,000",5,2,Pistol or Heavy Pistol,Increases damage,Blaster Exclusive Attachments.csv
Hunting Barrel,"1,200 (Restricted)",4,3,Rifles,Increases range,Blaster Exclusive Attachments.csv
Insulated Firing Mechanism,"1,000",7,1,-,Weapon is more resilient,Blaster Exclusive Attachments.csv
Ionizing Focusing Coils,800,5,2,-,Increases damage against droids,Blaster Exclusive Attachments.csv
Mandalorian Chamber,250,5,1,-,Increases stunning effects,Blaster Exclusive Attachments.csv
Marksman Barrel,"1,200",4,2,Rifles,Increases range,Blaster Exclusive Attachments.csv
Overcharged Actuating Module,650,7,1,Pistols or Carbines,Increases damage,Blaster Exclusive Attachments.csv
Rapid-Recharge XCiter,750,7,1,-,Significantly increases rate of fire,Blaster Exclusive Attachments.csv
Shortened Barrel,250,4,1,Pistol,Makes weapon easier to conceal,Blaster Exclusive Attachments.csv
Spread Barrel,"1,725",4,2,Rifles or Carbines,Scatters the weapon shot,Blaster Exclusive Attachments.csv
Tibanna-Jacked,150,6,1,-,Improves critical rating,Blaster Exclusive Attachments.csv
XCiter Overcharge,"1,100 (Restricted)",7,2,-,Significantly increases damage for a single shot,Blaster Exclusive Attachments.csv
Bowcaster Accelerator Enhancement,250,4,1,Bowcaster,Increases damage,Exotic Weapon Attachments.csv
Bowcaster Automatic Re-Cocker,500,3,1,Bowcaster,Increases fire-rate,Exotic Weapon Attachments.csv
Droid Brain Detonator,"1,000",4,0,-,May detonate under pre-programmed conditions,Explosives Attachments.csv
Grenade Cling,70,2,0,-,Explosive sticks to target,Explosives Attachments.csv
Ordnance Impeller,500,4,0,Encumbrance 3-,Can remote control movement of explosives,Explosives Attachments.csv
Proximity Detonator,120,3,0,-,Detonate in proximity of a creature,Explosives Attachments.csv
Augmented Vibro-motor,500,4,2,Vibro-weapon,Increases damage,Melee Weapon Attachments.csv
Balanced Hilt,"1,500",5,2,-,Increases accuracy,Melee Weapon Attachments.csv
Cortosis Forging,"8,000",8,1,-,Weaves in cortosis,Melee Weapon Attachments.csv
Energy Overclock Setting,500,5,3,Powered weapon,Increases viciousness,Melee Weapon Attachments.csv
Mono-Molecular Edge,"1,000",5,1,Cutting Edge,Improves critical rating,Melee Weapon Attachments.csv
Poison Reservoir,400 (Restricted),6,1,-,Stores a dose of poison or drug,Melee Weapon Attachments.csv
Serrated Edge,50,1,1,Cutting Edge,Increases viciousness,Melee Weapon Attachments.csv
Shield Discharge Pack,800,5,1,Shields or Bucklers,Gives a knockback to attackers,Melee Weapon Attachments.csv
Shock Pulse Emitter,"1,500",5,2,-,Adds stunning damage,Melee Weapon Attachments.csv
Stun Pulse,250,4,1,Bludgeoning,Adds stunning damage,Melee Weapon Attachments.csv
Weighted Head,250,3,2,Bludgeoning,Increases damage,Melee Weapon Attachments.csv
Arakyd 900 Gene-Lock,500,7,1,Powered weapon,Weapon can only be used by installer,Ranged Weapon Attachments.csv
Ascension Gun,500,4,1,-,Can fire grappling hook,Ranged Weapon Attachments.csv
Bayonet,50,1,1,Carbine or Rifle-sized,Attaches combat knife,Ranged Weapon Attachments.csv
Bipod Mount,100,1,1,"Rifle, Carbine & Light Repeaters",Reduces awkwardness of firing weapon,Ranged Weapon Attachments.csv
Built-in Blaster Sight,150,4,1,Energy weapon,Improves aim,Ranged Weapon Attachments.csv
Combat Tested,50,3,0,Used extensively,Provides moral support,Ranged Weapon Attachments.csv
Corellian Arms Model 2 Wrist Mount,275,5,2,Ranged (Light),Mounts to wrist,Ranged Weapon Attachments.csv
Czerka H9 Pistol Grip,400,3,1,Carbine or Rifle without Cumbersome,Allows weapon to be used one-handed,Ranged Weapon Attachments.csv
Droid Targeting System,"3,200",5,3,-,Improves ability of using this weapon,Ranged Weapon Attachments.csv
Electronic Sighting System,500,4,1,-,Assists in aiming at short range,Ranged Weapon Attachments.csv
Environmental Adaptation Kit,100,2,1,-,Weapon resists hostile environments,Ranged Weapon Attachments.csv
Filed Front Sight,25,0,1,Pistol-sized,Easier to draw weapon,Ranged Weapon Attachments.csv
Force-Attuned Resonator,"1,000 (Restricted)",8,1,"Non-Gunnery, has a trigger",Requires force sensitivity to use weapon,Ranged Weapon Attachments.csv
Forearm Grip,250,1,1,Carbine or Rifle-sized (non heavy rifle),Makes weapon easier to fire in close quarters,Ranged Weapon Attachments.csv
Gyrostabilizer,"1,000",6,2,Ranged (Heavy) or Gunnery weapon,Makes weapon less cumbersome,Ranged Weapon Attachments.csv
Hair Trigger,250,2,1,Pistol without Auto-fire,Increases rate of fire,Ranged Weapon Attachments.csv
Integrated Illuminator,200,4,1,-,Attaches a glow rod,Ranged Weapon Attachments.csv
Integrated Scanner,675,5,2,Ranged (Heavy) weapon,Attaches a general purpose scanner,Ranged Weapon Attachments.csv
Marked-Target Firing Lock,900,4,1,Non-Blast or Auto-fire,Designates a single target for firing at,Ranged Weapon Attachments.csv
Merr-Sonn VX Hands-Free Weapon System,"1,000",6,1,Encumbrance 4-,Mounts to armour for hands-free use,Ranged Weapon Attachments.csv
Motion Tracker,"1,000",6,2,Ranged (Heavy),Reduces opponent's ability to dodge,Ranged Weapon Attachments.csv
Multi-Optic Sight,"2,000",3,1,-,Improves sight in obscure conditions,Ranged Weapon Attachments.csv
Night Vision Scope,500,3,1,-,Allows use of weapon in darkness,Ranged Weapon Attachments.csv
Optimized Energy Cell,100,5,1,Energy weapon,Reduces likelihood of needing a reload,Ranged Weapon Attachments.csv
Overcharge Valve,"1,500 (Restricted)",6,2,Energy weapon,Increases damage significantly once,Ranged Weapon Attachments.csv
Removed Safety Features,250 (Restricted),2,0,Non-Gunnery,Occasionally makes weapon easier to use,Ranged Weapon Attachments.csv
Secondary Ion Blaster,400,6,2,Ranged (Heavy),Add an ion blaster underslung,Ranged Weapon Attachments.csv
Set Trigger,450,4,1,Non-Gunnery,Increases reflex speed,Ranged Weapon Attachments.csv
Sonic Scope,"1,500",8,1,Ranged (Heavy),Allows aiming at targets behind cover,Ranged Weapon Attachments.csv
"SoroSuub ""Bantha's Eye"" Laser Sight",500,5,1,"Non-Gunnery, Non-Blast weapon",Improves accuracy,Ranged Weapon Attachments.csv
"SoroSuub ""Final Word"" Secondary Missile System","3,000",6,3,Non-Gunnery Rifles,Underslung rocket/missile launcher,Ranged Weapon Attachments.csv
Stripped Down,250,4,3,Non-Gunnery,Reduces weight of the weapon,Ranged Weapon Attachments.csv
Telescopic Optical Sight,250,1,1,-,Improves long range effectiveness,Ranged Weapon Attachments.csv
Tripod Mount,250,3,2,Repeaters and Gunnery Weapons,Reduces awkwardness of firing weapon,Ranged Weapon Attachments.csv
Under-Barrel Flame Projector,"3,000 (Restricted)",5,2,Rifles,Underslung flamethrower,Ranged Weapon Attachments.csv
Under-Barrel Grapnel Launcher,500,3,2,Non-Gunnery,Underslung grapple,Ranged Weapon Attachments.csv
Under-Barrel Grenade Launcher,"2,000 (Restricted)",5,2,Rifles,Underslung grenade launcher,Ranged Weapon Attachments.csv
Under-Barrel Micro-Rocket Rack,"1,200 (Restricted)",6,3,-,Underslung mini-rocket launcher,Ranged Weapon Attachments.csv
Underslung Scattergun,750 (Restricted),5,3,Pistols & Rifles,Underslung shotgun,Ranged Weapon Attachments.csv
Vibro-Bayonet,300,3,1,Ranged (Heavy),Attaches vibro-knife,Ranged Weapon Attachments.csv
Weapon Harness,500,2,2,Ranged (Heavy) or Gunnery,Reduces awkwardness of firing weapon,Ranged Weapon Attachments.csv
Weapon Sling,100,0,1,Ranged (Heavy),Reduces awkwardness of firing weapon,Ranged Weapon Attachments.csv
Slugthrower Suppressor,100 (Restricted),4,1,Non-Gunnery,Reduces weapon sound,Slugthrower Exclusive Attachments.csv
Componentization,"1,150",5,2,Encumbrance 2-,Allows breakdown of weapon for concealement,Universal Weapon Attachments.csv
Custom Grip,500,6,1,Has a handle,Improves comfort of use,Universal Weapon Attachments.csv
Lightweight Frame,650,3,1,-,Reduces weight of weapon,Universal Weapon Attachments.csv
Magnetic Weapon Tether,250,2,1,One-handed weapon,Recover weapon easily,Universal Weapon Attachments.csv
Paired Weapons,300,3,1,One-handed weapon,Makes weapons easier to hit in tandem,Universal Weapon Attachments.csv
Scanner-Proof Hardware,"1,000 (Restricted)",6,2,-,Makes weapon harder to detect with scanners,Universal Weapon Attachments.csv
Shadowsheath,"1,500 (Restricted)",5,1,Encumbrance 2-,Increases difficulty to find weapon,Universal Weapon Attachments.csv
Superior Weapon Customization,"5,000",6,1,-,Makes weapon Superior,Universal Weapon Attachments.csv
Weapon Signature Reduction,"1,000",6,1,Encumbrance 3-,Makes weapon harder to detect with scanners,Universal Weapon Attachments.csv
