Modification,Price,Rarity0to10,HP Req.,Features,Category
Athiss Cave Crystal,"7,000",8,2,,Kyber Crystals
Barab Ingot,"15,000",8,2,Especially hot lightsaber blade,Kyber Crystals
Christophsis Crystal,"11,000",8,2,Enhances kinetic energy,Kyber Crystals
Corrupted Crystal,Must be found,9,2,Empowers dark side use,Kyber Crystals
Cracked Crystal,Must be found,10,2,Remnant of Death Star's kyber cluster,Kyber Crystals
Cracked Jedha Crystal,"8,000",7,3,Potent but unstable blade,Kyber Crystals
Dantari Crystal,"12,000",9,2,Using the force is more calming,Kyber Crystals
Dragite Gem,"14,000",7,2,Particularly disorienting blade,Kyber Crystals
Etaan Crystal,"12,000",9,1,Especially good at reflection,Kyber Crystals
Ghostfire Crystal,"14,000",9,1,Silent and dim blade,Kyber Crystals
Ilum Crystal,"9,000",10,2,Well rounded crystal,Kyber Crystals
Kimber Stone,"6,500",8,2,Produces non-lethal blade,Kyber Crystals
Krayt Dragon Pearl,"15,000",10,2,Especially vicious blade,Kyber Crystals
Lorrdian Gemstone,"9,600",8,2,Empowers one's defense,Kyber Crystals
Mephite Crystal,"10,000",10,2,Imbued with the force,Kyber Crystals
Nishalorite Stone,"12,500",8,2,Aids in navigating terrain,Kyber Crystals
Sapith Gem,"18,000",10,2,Particularly strong at cutting,Kyber Crystals
Seeker Crystal,"16,000",9,2,Improves perception of user,Kyber Crystals
Solari Crystal,"16,000",9,3,Empowers light-side users,Kyber Crystals
Sorian Crystal,"16,000",9,4,Bright blade when in contact with something,Kyber Crystals
Tainted Nightsister Crystal,"13,000",10,2,Blade emits choking green smoke,Kyber Crystals
Thontiin Crystal,"9,000",9,2,Reduces user's pain,Kyber Crystals
Training Lightsaber Emitter,100,6,2,Produces a low power stun-blade,Kyber Crystals
Unstable Kyber Crystal,"16,000",10,2,May be drawn upon for its force connection,Kyber Crystals
Varpeline Crystal,"14,000",9,2,Exceptionally 'sharp' blade,Kyber Crystals
Zophis Crystal,"11,000",10,2,Particularly capable of cutting through durasteel,Kyber Crystals
Blade Drain,"4,000 (Restricted)",9,2,Can drain opponent's lightsaber power,Lightsaber Modifications
Catastrophic Failure Modification,0,-,0,Turns lightsaber into improvised thermal detonator,Lightsaber Modifications
Curved Hilt,"1,000",6,1,Improves duelling ability,Lightsaber Modifications
Cyclic Crystal Array,"1,500 (Restricted)",8,2,Can install second crystal and swap in combat,Lightsaber Modifications
Damping Emitter,"2,000",7,1,May set lightsaber to stun damage,Lightsaber Modifications
Dual-Phase Modification,"4,500",6,2,Momentarily ignore opponent's melee defense,Lightsaber Modifications
Extended Hilt,"3,800",7,1,Increases damage,Lightsaber Modifications
Flickerphase Blade,"5,000",4,1,Makes blade harder to parry,Lightsaber Modifications
Fusion Shunt,"2,000",6,1,Gives a setting for increased cutting potential,Lightsaber Modifications
Hilt-Masking Kit,-,-,1,Conceals lightsaber as different item,Lightsaber Modifications
Ionizing Emitter Matrix,"4,000",6,2,Increases damage against droids and vehicles,Lightsaber Modifications
Overcharged Power Cell,500,6,1,Temporarily increase damage significantly,Lightsaber Modifications
Pistol Hilt,750,5,2,Hilt is part of a blaster pistol,Lightsaber Modifications
Pommel Cap,"3,000",2,1,Allows for lightsabers to make non-lethal blows,Lightsaber Modifications
Reflex Grip,"4,000",8,2,Improves parrying and reflecting,Lightsaber Modifications
Reinforced Magnetic Shielding,"4,000",5,1,Increases kinetic ability,Lightsaber Modifications
Shien Reverse Grip Customization,100,6,1,Improves ability in Shien lightsaber form,Lightsaber Modifications
Stun Blaster Attachment,750,5,3,Hilt is part of a stun blaster,Lightsaber Modifications
Superior Hilt Personalisation,"5,000",6,1,Makes weapon Superior,Lightsaber Modifications
Thisspiasian Stabilising Coils,"5,500",5,1,Reduces negative effects on attacks,Lightsaber Modifications
Tholothian Heartwood Hilt,"8,000",7,1,Allows stronger strikes,Lightsaber Modifications
Walking Stick Hilt Disguise,"2,500",6,1,Hilt is concealed in walking stick,Lightsaber Modifications
