Gear,Price,Encumbrance,Rarity0to10,Features
3-MAL Secure Comlink,250,0,4,Military-grade encrypted comlink
Atgar Artillery Remote,400,1,7,Links to gunnery weapon to use at medium range
Bespin Motors Remote DVI Activator,300,0,4,Activate ship from 5km away
Carbanti United Electronics Whistler,"1,250",3,6,Uncrackable encryption on comms
Chedak Communications X-500 Portable HoloNet Relay,"75,000",15,7,Grants access to HoloNet
Cirenian Communications Pioneer Long-Range Transceiver,"1,000",5,3,25 Ly range comlink
Combat Scanner,"2,000",1,6,Integrated comlink into sensor package
Comlink (handheld),25,0,0,Extreme range communications
Comlink (long range),200,2,1,Full planet range communications
DH77 Headcomm,400 (Restricted),0,3,Medium range (planetary scale) comms & military encryption
Earbud Comlink,75,0,5,Long range comms & hard to notice
False Voice Transmitter,"1,400",4,6,Allows impersonation over comms
Hardened Comlink,450,3,4,Encrypted comms & break through jammers
Herzfall Communications Collar-Amp,50,0,1,Boosts voice volume
Holo-Megacaster,600,1,3,Projects enlarged self holographically
Holo-Messenger,250,0,4,Counts as long range comlink but with visual feed
Integrated Public Address System,200,4,4,"Audio system with microphone, 1 hour independent use"
Polis Massan Voicebox,50,1,6,Transmits Polis Massan telepathy into speech
PTP Link,100,2,7,25km range comms device
Shockhold Hardened Comlink,450,3,4,Encrypted comms & break through jammers
Taggeco Shockhold Hardened Com,450,3,4,Encrypted comms & break through jammers
Verpine Comlink,250,1,6,Picks up verpine communications within 100km
