Model,Hyperdrive,Encumbrance,HP,Price,Rarity,Weapons?
Action IV Bulk Freighter,Class 3,"8,500",4,"150,000",4,Yes
Action VI Bulk Transport,Class 3 / 20,"10,000",4,"200,000",5,No
C-9979 Landing Craft,Class 2 / 15,">5,500 (and complement)",2,"(R) 12,000,000",6,Yes
Eta-class Supply Barge,Class 3 / 12,"12,000",2,"(R) 750,000",7,No
GR-75 Medium Transport,Class 4 / 15,"1,000",4,"180,000",6,No
HT-2200 Medium Freighter,Class 3 / 15,800,5,"140,000",5,Yes
LH75 Speciality Live-Haul Freighter,Class 3 / 15,"1,000",3,"126,000",5,Yes
Mobquet Medium Transport,Class 2 / 15,"5,000",5,"275,000",5,Yes
ND-47 Stalwart Bulk Freighter,Class 3 / 12,200,2,"70,000",6,No
Space Master Medium Transport,Class 4 / 15,800,2,"150,000",4,Yes
Star Galleon Armed Transport,Class 2 / 12,"10,000",2,"(R) 1,500,000",7,Yes
Suwantek TL-1200 Transport,Class 2 / 13,600,5,"170,000",6,Yes
Temple-class Heavy Freighter,Class 2 / 18,"30,000",6,"950,000",6,No
TL-18b Medium Transport,Class 2 / 10,400,5,"157,000",7,Yes
Wayfarer-class Medium Freighter,Class 2 / 14,850,5,"120,000",5,Yes
Xiytiar-class Heavy Transport,Class 3 / 16,"2,000",4,"200,000",5,No
YZ-775 Medium Transport,Class 1 / 12,850,2,"500,000",3,Yes
